analysis_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathrooms,amenities,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,review_scores_communication
11,Cuauhtémoc,19.4187700,-99.1719900,Entire rental unit,Entire home/apt,3,1.00,1.00,1.00,"[""Air conditioning"", ""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Bikes"", ""Smart lock"", ""Private patio or balcony"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Paid parking off premises"", ""Body soap"", ""Kitchen"", ""Backyard"", ""Stove"", ""Drying rack for clothing"", ""Cleaning products"", ""Free parking on premises"", ""Cleaning available during stay"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Iron"", ""Single level home"", ""Shower gel"", ""Bathtub"", ""Coffee"", ""Pack \u2019n play/Travel crib - available upon request"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Smoking allowed"", ""Blender"", ""Hair dryer"", ""Record player"", ""Dishes and silverware"", ""Cooking basics"", ""Conditioner"", ""Pets allowed""]",1018.00,0.00,0.00,4.77,4.76,4.94,4.81,4.82
12,Cuauhtémoc,19.4123600,-99.1753300,Entire guest suite,Entire home/apt,2,1.00,1.00,1.00,"[""Self check-in"", ""Outdoor dining area"", ""Dedicated workspace"", ""Patio or balcony"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Kitchen"", ""Stove"", ""Lockbox"", ""Free street parking"", ""Luggage dropoff allowed"", ""Shampoo"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Smoking allowed"", ""Exterior security cameras on property"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""Cooking basics"", ""32 inch HDTV with standard cable"", ""Pets allowed""]",559.00,126.00,70434.00,4.60,4.66,4.95,4.68,4.83
13,Coyoacán,19.3403400,-99.1834500,Private room in townhouse,Private room,2,1.00,1.00,1.50,"[""Baking sheet"", ""Heating"", ""Dining table"", ""Outdoor dining area"", ""Room-darkening shades"", ""Dedicated workspace"", ""Patio or balcony"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Microwave"", ""Private backyard \u2013 Fully fenced"", ""Body soap"", ""Kitchen"", ""Stove"", ""Drying rack for clothing"", ""Cleaning products"", ""Sound system"", ""Cleaning available during stay"", ""Host greets you"", ""Extra pillows and blankets"", ""Free street parking"", ""Luggage dropoff allowed"", ""Paid parking lot off premises"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Washer"", ""Iron"", ""BBQ grill"", ""Shower gel"", ""Clothing storage"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Freezer"", ""TV with standard cable"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""Barbecue utensils"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Portable fans"", ""Conditioner"", ""Dryer""]",299.00,54.00,16146.00,4.81,4.82,4.77,4.84,4.92
14,Cuauhtémoc,19.4144400,-99.1573400,Private room in condo,Private room,2,1.00,1.00,1.00,"[""Courtyard view"", ""Laundromat nearby"", ""Dining table"", ""Outdoor dining area"", ""Ceiling fan"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Stainless steel gas stove"", ""Private backyard \u2013 Fully fenced"", ""Kitchen"", ""Drying rack for clothing"", ""Cleaning products"", ""Sound system"", ""Cleaning available during stay"", ""Host greets you"", ""Extra pillows and blankets"", ""Free street parking"", ""Paid street parking off premises"", ""Shampoo"", ""Mabe stainless steel oven"", ""Iron"", ""Single level home"", ""Shower gel"", ""Bathtub"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Coffee maker: drip coffee maker, espresso machine, french press, Nespresso"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Freezer"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""HDTV with Netflix, premium cable"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Shared patio or balcony"", ""Conditioner""]",750.00,18.00,13500.00,4.84,4.81,4.89,4.77,4.91
15,Cuauhtémoc,19.4316500,-99.1713200,Entire rental unit,Entire home/apt,4,2.00,2.00,2.00,"[""Laundromat nearby"", ""Elevator"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Free parking garage on premises"", ""Body soap"", ""Kitchen"", ""Stove"", ""Host greets you"", ""Free street parking"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Freezer"", ""TV with standard cable"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Coffee maker"", ""First aid kit"", ""Cooking basics""]",1469.00,30.00,44070.00,4.90,4.92,4.94,4.88,4.84
16,Cuauhtémoc,19.4075000,-99.1756100,Private room in bed and breakfast,Private room,14,6.00,10.00,6.00,"[""HDTV"", ""Dedicated workspace"", ""Patio or balcony"", ""Wifi"", ""Safe"", ""Microwave"", ""Body soap"", ""Kitchen"", ""Gas stove"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Carbon monoxide alarm"", ""Toaster"", ""Exterior security cameras on property"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Mini fridge"", ""Backyard""]",10500.00,0.00,0.00,4.70,4.74,4.98,4.49,4.85
17,Coyoacán,19.3424000,-99.1541900,Private room in condo,Private room,1,1.00,1.00,1.00,"[""Courtyard view"", ""Laundromat nearby"", ""Elevator"", ""Hot water"", ""Microwave"", ""Refrigerator"", ""Paid parking off premises"", ""Cleaning products"", ""Host greets you"", ""Kitchenette"", ""Extra pillows and blankets"", ""Sound system with aux"", ""Clothing storage: wardrobe"", ""Wifi \u2013 28 Mbps"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Toaster"", ""Coffee maker"", ""Dishes and silverware"", ""Mini fridge""]",291.00,8.00,2328.00,4.73,4.91,4.95,4.77,4.82
18,Cuauhtémoc,19.4157800,-99.1742500,Entire rental unit,Entire home/apt,4,2.00,2.00,1.00,"[""Private entrance"", ""City skyline view"", ""Dining table"", ""Elevator"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Pocket wifi"", ""Microwave"", ""Kitchen"", ""Free parking on premises"", ""Cleaning available during stay"", ""Host greets you"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Iron"", ""Bathtub"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Freezer"", ""Exterior security cameras on property"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Portable fans""]",1315.00,255.00,335325.00,4.80,4.82,4.98,4.84,4.91
19,Cuauhtémoc,19.4101700,-99.1788600,Private room in rental unit,Private room,2,1.00,2.00,1.50,"[""Heating"", ""Room-darkening shades"", ""Wifi"", ""Hot water"", ""Microwave"", ""Refrigerator"", ""Kitchen"", ""Stove"", ""Host greets you"", ""Extra pillows and blankets"", ""Free street parking"", ""Luggage dropoff allowed"", ""Oven"", ""Washer"", ""Iron"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Hair dryer"", ""Private living room"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher""]",606.00,0.00,0.00,4.84,4.94,4.96,4.80,4.89
20,Cuauhtémoc,19.4083564,-99.1732988,Entire rental unit,Entire home/apt,2,1.00,1.00,1.50,"[""Private entrance"", ""Laundromat nearby"", ""Heating"", ""Dining table"", ""Self check-in"", ""Room-darkening shades"", ""Elevator"", ""Dedicated workspace"", ""Private patio or balcony"", ""Wifi"", ""Hot water"", ""Safe"", ""Refrigerator"", ""Microwave"", ""Body soap"", ""Kitchen"", ""Lockbox"", ""Drying rack for clothing"", ""Cleaning products"", ""Cleaning available during stay"", ""Extra pillows and blankets"", ""Mabe stainless steel gas stove"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Clothing storage"", ""Coffee"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""TV with standard cable"", ""Blender"", ""Hair dryer"", ""Free dryer \u2013 In unit"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Cooking basics"", ""Portable fans"", ""Conditioner""]",1678.00,102.00,171156.00,4.90,4.94,4.96,4.88,4.89
