analysis_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathrooms,amenities,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,review_scores_communication
5316,Coyoacán,19.3035200,-99.1760500,Private room in rental unit,Private room,3,2.00,2.00,1.00,"[""Private entrance"", ""Outdoor dining area"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Stainless steel gas stove"", ""Free dryer \u2013 In building"", ""Kitchen"", ""102 inch HDTV"", ""Oven"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Shared patio or balcony"", ""Wifi \u2013 17 Mbps""]",783.00,108.00,84564.00,4.79,4.85,4.86,4.68,4.85
5317,Cuauhtémoc,19.4165500,-99.1791200,Entire serviced apartment,Entire home/apt,2,1.00,2.00,1.00,"[""Air conditioning"", ""Private entrance"", ""City skyline view"", ""Room-darkening shades"", ""Elevator"", ""Dedicated workspace"", ""Private patio or balcony"", ""Wifi"", ""High chair"", ""Hot water"", ""Refrigerator"", ""Pocket wifi"", ""Microwave"", ""Kitchen"", ""Stove"", ""Drying rack for clothing"", ""Cleaning products"", ""Sound system"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Free street parking"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Washer"", ""Iron"", ""BBQ grill"", ""Clothing storage"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""TV with standard cable"", ""Hair dryer"", ""Free dryer \u2013 In unit"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Portable fans"", ""Conditioner""]",2353.00,255.00,600015.00,4.90,4.89,4.83,4.87,4.98
5318,Miguel Hidalgo,19.4266600,-99.2250800,Entire rental unit,Entire home/apt,2,1.00,2.00,1.00,"[""Air conditioning"", ""Private entrance"", ""Self check-in"", ""Heating"", ""Noise decibel monitors on property"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Building staff"", ""Kitchen"", ""Free parking on premises"", ""TV"", ""Shampoo"", ""Washer"", ""Iron"", ""Shared gym in building"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Carbon monoxide alarm"", ""Crib"", ""Exterior security cameras on property"", ""Hair dryer"", ""Dishes and silverware"", ""Cooking basics"", ""Fire extinguisher"", ""Dryer""]",2384.00,0.00,0.00,4.50,4.75,4.63,4.38,4.59
5319,Coyoacán,19.3485600,-99.1661500,Entire rental unit,Entire home/apt,2,1.00,1.00,1.00,"[""Private entrance"", ""Laundromat nearby"", ""Heating"", ""Dining table"", ""Self check-in"", ""Room-darkening shades"", ""Keypad"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Kitchen"", ""Drying rack for clothing"", ""Cleaning products"", ""HDTV with Netflix, Roku"", ""Park view"", ""Extra pillows and blankets"", ""Free street parking"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Ethernet connection"", ""Freezer"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Teka stainless steel electric stove"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Housekeeping available every day - available at extra cost""]",915.00,60.00,54900.00,4.89,4.91,4.96,4.82,4.81
5320,Álvaro Obregón,19.3139100,-99.2709100,Private room in home,Private room,2,1.00,2.00,1.00,"[""Free street parking"", ""Shampoo"", ""Hair dryer"", ""Body soap"", ""Iron"", ""Long term stays allowed"", ""Smoking allowed"", ""Cleaning products"", ""Host greets you"", ""Wifi"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Essentials"", ""TV"", ""Lock on bedroom door"", ""Hot water"", ""Pets allowed""]",150.00,6.00,900.00,4.25,4.50,3.75,4.75,4.75
5321,Cuauhtémoc,19.4218700,-99.1701300,Entire rental unit,Entire home/apt,2,1.00,1.00,1.00,"[""Pack \u2019n play/Travel crib"", ""Self check-in"", ""Dedicated workspace"", ""Safe"", ""Refrigerator"", ""Microwave"", ""Hot water"", ""Wifi \u2013 10 Mbps"", ""Building staff"", ""Kitchen"", ""Stove"", ""HDTV with Netflix, Amazon Prime Video"", ""Free street parking"", ""Luggage dropoff allowed"", ""Shampoo"", ""Children\u2019s dinnerware"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""Cooking basics"", ""Fire extinguisher"", ""Backyard"", ""Dryer""]",900.00,66.00,59400.00,4.49,4.50,4.78,4.47,4.63
5322,Tlalpan,19.2839000,-99.2174000,Entire home,Entire home/apt,6,1.00,3.00,1.00,"[""Private entrance"", ""Laundromat nearby"", ""Dining table"", ""Self check-in"", ""43 inch HDTV with Netflix"", ""Private patio or balcony"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Private backyard \u2013 Fully fenced"", ""Body soap"", ""Kitchen"", ""Lockbox"", ""Free parking on premises"", ""Fire pit"", ""Extra pillows and blankets"", ""Gas stove"", ""Free street parking"", ""Luggage dropoff allowed"", ""Shampoo"", ""Iron"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Freezer"", ""Smoking allowed"", ""Coffee maker"", ""Dishes and silverware"", ""Cooking basics"", ""Pets allowed""]",836.00,255.00,213180.00,4.93,4.86,4.95,4.89,4.91
5323,Cuauhtémoc,19.4323500,-99.1650700,Entire rental unit,Entire home/apt,2,2.00,2.00,1.00,"[""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Books and reading material"", ""Kitchen"", ""Host greets you"", ""Extra pillows and blankets"", ""Gas stove"", ""Oven"", ""Iron"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Freezer"", ""Blender"", ""Coffee maker"", ""Dishes and silverware"", ""Cooking basics""]",1072.00,84.00,90048.00,4.82,4.76,4.97,4.85,5.00
5324,Cuauhtémoc,19.4268100,-99.1721900,Private room in guest suite,Private room,2,1.00,1.00,1.00,"[""Noise decibel monitors on property"", ""Wifi"", ""Hot water"", ""Luggage dropoff allowed"", ""Paid street parking off premises"", ""Shampoo"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Coffee maker"", ""First aid kit"", ""Fire extinguisher"", ""Mini fridge""]",826.00,30.00,24780.00,4.63,4.50,5.00,4.13,4.63
5325,Coyoacán,19.3088328,-99.1759877,Entire condo,Entire home/apt,4,2.00,3.00,1.00,"[""Self check-in"", ""Private backyard"", ""Dedicated workspace"", ""Private patio or balcony"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Body soap"", ""Kitchen"", ""Lockbox"", ""Drying rack for clothing"", ""Cleaning products"", ""Free parking on premises"", ""Extra pillows and blankets"", ""TV"", ""Luggage dropoff allowed"", ""Washer"", ""Iron"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Cooking basics"", ""Fire extinguisher"", ""Pets allowed""]",822.00,255.00,209610.00,4.76,4.73,4.85,4.70,4.86
5326,Gustavo A. Madero,19.4587800,-99.1063200,Entire rental unit,Entire home/apt,2,1.00,1.00,1.00,"[""Shampoo"", ""Hair dryer"", ""Washer"", ""Iron"", ""Kitchen"", ""Outdoor dining area"", ""Hangers"", ""Wifi"", ""Dedicated workspace"", ""Essentials"", ""TV"", ""Breakfast"", ""Outdoor furniture"", ""Pets allowed""]",1772.00,20.00,35440.00,5.00,5.00,5.00,5.00,5.00
5327,Cuauhtémoc,19.4367542,-99.1379852,Entire loft,Entire home/apt,4,1.00,2.00,1.00,"[""Private entrance"", ""Laundromat nearby"", ""City skyline view"", ""Self check-in"", ""Stainless steel oven"", ""Room-darkening shades"", ""Wifi"", ""Hot water"", ""Safe"", ""Books and reading material"", ""Refrigerator"", ""Microwave"", ""Building staff"", ""Kitchen"", ""Extra pillows and blankets"", ""TV"", ""Mabe stainless steel gas stove"", ""Paid parking lot off premises"", ""Shampoo"", ""Children\u2019s dinnerware"", ""Iron"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Crib - available upon request"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Ethernet connection"", ""Freezer"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Portable air conditioning"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Cooking basics"", ""Shared patio or balcony"", ""Fire extinguisher""]",1712.00,102.00,174624.00,4.69,4.82,4.93,4.71,4.82
5328,Cuauhtémoc,19.4099800,-99.1676000,Entire rental unit,Entire home/apt,4,2.00,3.00,2.50,"[""Washer \u2013\u00a0In unit"", ""Private entrance"", ""Self check-in"", ""Smart lock"", ""Room-darkening shades"", ""Elevator"", ""Patio or balcony"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Shared pool"", ""Fire extinguisher"", ""Body soap"", ""Kitchen"", ""Stove"", ""Free parking on premises"", ""Cleaning products"", ""Dryer \u2013\u00a0In unit"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""High chair - available upon request"", ""Oven"", ""Shampoo"", ""Iron"", ""Single level home"", ""Clothing storage"", ""Pack \u2019n play/Travel crib - available upon request"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Freezer"", ""TV with standard cable"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Portable fans"", ""Conditioner""]",1526.00,174.00,265524.00,4.74,4.77,4.80,4.70,4.85
5329,Cuauhtémoc,19.4109600,-99.1682500,Entire rental unit,Entire home/apt,4,2.00,4.00,2.00,"[""Pack \u2019n play/Travel crib"", ""Baking sheet"", ""Private entrance"", ""City skyline view"", ""Self check-in"", ""Smart lock"", ""Room-darkening shades"", ""Elevator"", ""Wifi"", ""High chair"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Fire extinguisher"", ""Body soap"", ""Kitchen"", ""Stove"", ""Free parking on premises"", ""Cleaning products"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Washer"", ""Iron"", ""Single level home"", ""Pool"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Crib"", ""Ethernet connection"", ""TV with standard cable"", ""Freezer"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Shared patio or balcony"", ""Portable fans"", ""Conditioner"", ""Dryer""]",1380.00,255.00,351900.00,4.67,4.76,4.81,4.67,4.83
5330,Cuauhtémoc,19.4367542,-99.1379852,Entire condo,Entire home/apt,3,1.00,1.00,1.00,"[""Private entrance"", ""Laundromat nearby"", ""City skyline view"", ""Self check-in"", ""Wifi"", ""Hot water"", ""Building staff"", ""Kitchen"", ""TV"", ""Shampoo"", ""Washer"", ""Iron"", ""Coffee"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Exterior security cameras on property"", ""Coffee maker"", ""Cooking basics"", ""Fire extinguisher"", ""Dryer""]",1272.00,42.00,53424.00,4.83,4.83,4.91,4.73,4.82
5331,Álvaro Obregón,19.3547100,-99.1946200,Private room in guest suite,Private room,2,1.00,1.00,1.00,"[""Private entrance"", ""Laundromat nearby"", ""Dining table"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Mosquito net"", ""Pocket wifi"", ""Refrigerator"", ""Microwave"", ""Kitchen"", ""Stove"", ""Free parking on premises"", ""Cleaning products"", ""Free street parking"", ""Luggage dropoff allowed"", ""Garden view"", ""Iron"", ""Shower gel"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Toaster"", ""Blender"", ""Coffee maker"", ""Dishes and silverware"", ""Cooking basics"", ""HDTV with Disney+, Netflix, premium cable, Amazon Prime Video"", ""Shared patio or balcony"", ""Portable fans"", ""Mini fridge"", ""Backyard""]",850.00,126.00,107100.00,4.86,4.89,4.93,4.86,4.96
5332,Miguel Hidalgo,19.4344100,-99.1847700,Entire rental unit,Entire home/apt,7,3.00,5.00,3.50,"[""Pack \u2019n play/Travel crib"", ""Baking sheet"", ""Private entrance"", ""Dining table"", ""Self check-in"", ""Smart lock"", ""Room-darkening shades"", ""Patio or balcony"", ""Wifi"", ""Safe"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Fire extinguisher"", ""Dishwasher"", ""Coffee maker: drip coffee maker"", ""Body soap"", ""Kitchen"", ""Backyard"", ""Stove"", ""Drying rack for clothing"", ""Cleaning products"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Washer"", ""Iron"", ""Housekeeping - available at extra cost"", ""Bathtub"", ""Clothing storage"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Crib"", ""TV with standard cable"", ""Freezer"", ""Toaster"", ""Hair dryer"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Portable fans"", ""Conditioner"", ""Dryer""]",1994.00,246.00,490524.00,4.83,4.88,4.97,4.84,4.89
5333,Cuauhtémoc,19.4615200,-99.1471500,Private room in home,Private room,2,1.00,2.00,5.00,"[""Self check-in"", ""Wifi"", ""Hot water"", ""Microwave"", ""Building staff"", ""Stove"", ""TV"", ""Free street parking"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Iron"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Smoking allowed"", ""Hair dryer"", ""Coffee maker"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Backyard""]",307.00,0.00,0.00,4.75,3.75,5.00,4.50,5.00
5334,Coyoacán,19.3497524,-99.1658707,Private room in home,Private room,2,1.00,1.00,1.00,"[""Laundromat nearby"", ""Paid dryer \u2013 In unit"", ""Self check-in"", ""Smart lock"", ""Room-darkening shades"", ""Shared backyard \u2013 Fully fenced"", ""Dedicated workspace"", ""Wifi"", ""Induction stove"", ""Hot water"", ""Safe"", ""Refrigerator"", ""Kitchen"", ""Cleaning products"", ""Extra pillows and blankets"", ""TV"", ""Free street parking"", ""Portable heater"", ""Luggage dropoff allowed"", ""Shampoo"", ""Iron"", ""Shower gel"", ""Coffee maker: Nespresso"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Lock on bedroom door"", ""Exterior security cameras on property"", ""Hair dryer"", ""Private living room"", ""Propia body soap"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Shared patio or balcony"", ""Fire extinguisher"", ""Mini fridge"", ""Conditioner"", ""Pets allowed"", ""Paid washer \u2013 In building""]",1816.00,24.00,43584.00,4.88,4.84,4.98,4.80,4.94
5335,Cuauhtémoc,19.4215400,-99.1701900,Entire rental unit,Entire home/apt,2,1.00,1.00,1.00,"[""Private entrance"", ""Self check-in"", ""Noise decibel monitors on property"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Safe"", ""Paid parking off premises"", ""Wifi \u2013 10 Mbps"", ""Building staff"", ""Kitchen"", ""Stove"", ""TV"", ""Free street parking"", ""Luggage dropoff allowed"", ""Shampoo"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Dishes and silverware"", ""Cooking basics"", ""Fire extinguisher""]",986.00,138.00,136068.00,4.48,4.60,4.92,4.47,4.66
5336,Cuauhtémoc,19.4627800,-99.1454400,Private room in home,Private room,1,1.00,1.00,2.50,"[""Self check-in"", ""Room-darkening shades"", ""Patio or balcony"", ""Wifi"", ""Window guards"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Building staff"", ""Kitchen"", ""Stove"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Washer"", ""Iron"", ""BBQ grill"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Freezer"", ""TV with standard cable"", ""Smoking allowed"", ""Hair dryer"", ""Barbecue utensils"", ""Dishes and silverware"", ""Cooking basics""]",173.00,42.00,7266.00,4.67,4.50,4.83,4.67,5.00
5337,Cuauhtémoc,19.4594300,-99.1466300,Private room in home,Private room,1,1.00,1.00,5.00,"[""Self check-in"", ""Outdoor dining area"", ""Patio or balcony"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Pocket wifi"", ""Microwave"", ""Building staff"", ""Kitchen"", ""Stove"", ""Drying rack for clothing"", ""TV"", ""Free street parking"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Iron"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Freezer"", ""Smoking allowed"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Backyard""]",262.00,14.00,3668.00,5.00,4.83,5.00,5.00,5.00
5338,Cuauhtémoc,19.4315700,-99.1434400,Entire loft,Entire home/apt,2,1.00,1.00,1.00,"[""TV with Netflix, Roku"", ""Private entrance"", ""Self check-in"", ""City skyline view"", ""Dining table"", ""Room-darkening shades"", ""Dedicated workspace"", ""Private patio or balcony"", ""Wifi"", ""Hot water"", ""Safe"", ""Books and reading material"", ""Refrigerator"", ""Microwave"", ""Fire extinguisher"", ""Paid parking off premises"", ""Exercise equipment: stationary bike, treadmill"", ""Building staff"", ""Body soap"", ""Kitchen"", ""Stove"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Wine glasses"", ""Iron"", ""Paid dryer \u2013 In building"", ""BBQ grill"", ""Coffee maker: Nespresso"", ""Coffee"", ""Hangers"", ""Smoke alarm"", ""Essentials"", ""Outdoor furniture"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Toaster"", ""Freezer"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Gym"", ""Barbecue utensils"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Portable fans"", ""Paid washer \u2013 In building""]",742.00,150.00,111300.00,4.86,4.93,4.82,4.85,4.90
5339,Cuauhtémoc,19.4214000,-99.1548000,Entire rental unit,Entire home/apt,2,1.00,1.00,1.00,"[""Pack \u2019n play/Travel crib"", ""Self check-in"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""High chair"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Paid parking off premises"", ""Kitchen"", ""Stove"", ""Lockbox"", ""Extra pillows and blankets"", ""Oven"", ""Shampoo"", ""Washer"", ""Iron"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoking allowed"", ""Hair dryer"", ""Coffee maker"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Shared patio or balcony"", ""Fire extinguisher"", ""Backyard"", ""Dryer""]",830.00,180.00,149400.00,4.83,4.80,4.96,4.78,4.98
5340,Cuauhtémoc,19.4264000,-99.1610600,Entire rental unit,Entire home/apt,2,1.00,1.00,1.00,"[""Shampoo"", ""Hair dryer"", ""Iron"", ""Heating"", ""Kitchen"", ""First aid kit"", ""Cooking basics"", ""Hangers"", ""Elevator"", ""Wifi"", ""Dedicated workspace"", ""Smoke alarm"", ""Essentials"", ""TV"", ""Hot water"", ""Carbon monoxide alarm"", ""Fire extinguisher""]",1337.00,0.00,0.00,4.61,4.68,4.96,4.59,4.78
5341,Álvaro Obregón,19.3791100,-99.2539700,Entire rental unit,Entire home/apt,4,2.00,3.00,2.00,"[""Private entrance"", ""Self check-in"", ""Room-darkening shades"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Fire extinguisher"", ""Building staff"", ""Body soap"", ""Kitchen"", ""Backyard"", ""Stove"", ""Free parking on premises"", ""Cleaning products"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""High chair - available upon request"", ""Oven"", ""Shampoo"", ""Washer"", ""Iron"", ""Baby bath"", ""Single level home"", ""Pool"", ""Pack \u2019n play/Travel crib - available upon request"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Crib"", ""Ethernet connection"", ""TV with standard cable"", ""Freezer"", ""Coffee maker: pour-over coffee"", ""Hair dryer"", ""Gym"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Portable fans"", ""Conditioner"", ""Dryer""]",1324.00,198.00,262152.00,4.73,4.86,4.71,4.74,4.80
5342,Álvaro Obregón,19.3791100,-99.2539700,Entire condo,Entire home/apt,4,2.00,3.00,2.00,"[""Baking sheet"", ""Private entrance"", ""Dining table"", ""Self check-in"", ""Outlet covers"", ""Room-darkening shades"", ""Wifi"", ""High chair"", ""Safe"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Fire extinguisher"", ""Babysitter recommendations"", ""Building staff"", ""Body soap"", ""Kitchen"", ""Backyard"", ""Stove"", ""Drying rack for clothing"", ""Cleaning products"", ""Sound system"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Baby monitor"", ""Luggage dropoff allowed"", ""Oven"", ""Shampoo"", ""Washer"", ""Iron"", ""Baby bath"", ""Single level home"", ""Shower gel"", ""Clothing storage"", ""Pool"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Crib"", ""TV with standard cable"", ""Freezer"", ""Coffee maker: pour-over coffee"", ""Hair dryer"", ""Gym"", ""Barbecue utensils"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Portable fans"", ""Conditioner"", ""Dryer""]",1464.00,252.00,368928.00,4.76,4.81,4.70,4.74,4.86
5343,Cuauhtémoc,19.4185500,-99.1565800,Entire rental unit,Entire home/apt,13,4.00,5.00,2.00,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Stainless steel oven"", ""Room-darkening shades"", ""Elevator"", ""Wifi"", ""Hot water"", ""Laguna Cyprien body soap"", ""Refrigerator"", ""Microwave"", ""Stainless steel gas stove"", ""Laguna Cyprien shampoo"", ""Laguna Cyprien conditioner"", ""Kitchen"", ""Lockbox"", ""Cleaning products"", ""Cleaning available during stay"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Portable heater"", ""Luggage dropoff allowed"", ""Paid street parking off premises"", ""42 inch HDTV with Netflix"", ""Wine glasses"", ""Iron"", ""Single level home"", ""Shower gel"", ""Coffee"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""Coffee maker: pour-over coffee"", ""Freezer"", ""Toaster"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Free dryer \u2013 In unit"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Portable fans"", ""Free carport on premises \u2013 1 space""]",3188.00,174.00,554712.00,4.79,4.87,4.96,4.78,4.96
5344,Benito Juárez,19.3767069,-99.1650418,Private room in home,Private room,1,1.00,1.00,1.00,"[""Private entrance"", ""Laundromat nearby"", ""Self check-in"", ""Ceiling fan"", ""Room-darkening shades"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Coffee maker: drip coffee maker"", ""Building staff"", ""Body soap"", ""Kitchen"", ""Cleaning products"", ""Extra pillows and blankets"", ""TV"", ""Free street parking"", ""Luggage dropoff allowed"", ""Shampoo"", ""Iron"", ""Shower gel"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Freezer"", ""Exterior security cameras on property"", ""Blender"", ""Hair dryer"", ""Other gas stove"", ""Clothing storage: closet and wardrobe"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Fire extinguisher"", ""Mini fridge""]",500.00,24.00,12000.00,4.46,4.58,4.85,4.35,4.62
5345,Cuauhtémoc,19.4115200,-99.1800700,Private room in rental unit,Private room,1,1.00,1.00,1.00,"[""Laundromat nearby"", ""Self check-in"", ""Dining table"", ""Sin marca shampoo"", ""Dedicated workspace"", ""Wifi"", ""Hot water"", ""Refrigerator"", ""Books and reading material"", ""Microwave"", ""Coffee maker: drip coffee maker"", ""Body soap"", ""Kitchen"", ""Stove"", ""Drying rack for clothing"", ""Pantene conditioner"", ""Cleaning products"", ""Board games"", ""Lockbox"", ""Extra pillows and blankets"", ""Shared backyard \u2013 Not fully fenced"", ""TV"", ""Free street parking"", ""Luggage dropoff allowed"", ""Paid parking lot off premises"", ""Oven"", ""Iron"", ""Bathtub"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Freezer"", ""Smoking allowed"", ""Hot water kettle"", ""Blender"", ""Hair dryer"", ""Private living room"", ""Dishes and silverware"", ""Cooking basics""]",573.00,138.00,79074.00,4.90,4.89,4.99,4.90,4.99
5346,Cuauhtémoc,19.4295300,-99.1646300,Private room in rental unit,Private room,2,1.00,1.00,1.00,"[""L'OCCITANE conditioner"", ""Air conditioning"", ""Private entrance"", ""Laundromat nearby"", ""Self check-in"", ""Noise decibel monitors on property"", ""L'OCCITANE shampoo"", ""Wifi"", ""Hot water"", ""Free driveway parking on premises \u2013 1 space"", ""Building staff"", ""TV"", ""Luggage dropoff allowed"", ""Iron"", ""Hangers"", ""Bed linens"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Exterior security cameras on property"", ""Hair dryer"", ""First aid kit"", ""Fire extinguisher"", ""L'OCCITANE body soap"", ""Pets allowed""]",2072.00,0.00,0.00,4.33,4.33,4.33,4.17,4.00
